Rule 1: q0,0,:,:,q2,0,:,:,S,R,R
Rule 2: q1,0,_,_,q2,x,0,0,R,R,R
Rule 3: q1,:,_,_,q3,:,:,_,S,S,L
Rule 4: q2,0,_,_,q1,x,0,0,R,R,R
Rule 5: q2,:,_,_,q5,:,_,:,S,L,S
Rule 6: q3,:,:,0,q3,:,:,_,S,S,L
Rule 7: q3,:,:,:,q4,:,:,:,R,R,R
Rule 8: q4,0,_,_,q1,x,0,0,R,R,R
Rule 9: q4,_,_,_,q6,_,_,_,R,R,R
Rule 10: q5,:,0,:,q5,:,_,:,S,L,S
Rule 11: q5,:,:,:,q4,:,:,:,R,R,R
TM3tape.txt
Tape 0: 0:00:000:0000:0000000000:0000000000000:_
Tape 1: :_
Tape 2: :_
1,1,0,1,1,q0,0,:,:,q2,0,:,:,S,R,R
2,4,1,2,2,q2,0,_,_,q1,x,0,0,R,R,R
3,3,1,2,1,q1,:,_,_,q3,:,:,_,S,S,L
4,6,1,2,0,q3,:,:,0,q3,:,:,_,S,S,L
5,7,2,3,1,q3,:,:,:,q4,:,:,:,R,R,R
6,8,3,4,2,q4,0,_,_,q1,x,0,0,R,R,R
7,2,4,5,3,q1,0,_,_,q2,x,0,0,R,R,R
8,5,4,4,3,q2,:,_,_,q5,:,_,:,S,L,S
9,10,4,3,3,q5,:,0,:,q5,:,_,:,S,L,S
10,10,4,2,3,q5,:,0,:,q5,:,_,:,S,L,S
11,11,5,3,4,q5,:,:,:,q4,:,:,:,R,R,R
12,8,6,4,5,q4,0,_,_,q1,x,0,0,R,R,R
13,2,7,5,6,q1,0,_,_,q2,x,0,0,R,R,R
14,4,8,6,7,q2,0,_,_,q1,x,0,0,R,R,R
15,3,8,6,6,q1,:,_,_,q3,:,:,_,S,S,L
16,6,8,6,5,q3,:,:,0,q3,:,:,_,S,S,L
17,6,8,6,4,q3,:,:,0,q3,:,:,_,S,S,L
18,6,8,6,3,q3,:,:,0,q3,:,:,_,S,S,L
19,7,9,7,4,q3,:,:,:,q4,:,:,:,R,R,R
20,8,10,8,5,q4,0,_,_,q1,x,0,0,R,R,R
21,2,11,9,6,q1,0,_,_,q2,x,0,0,R,R,R
22,4,12,10,7,q2,0,_,_,q1,x,0,0,R,R,R
23,2,13,11,8,q1,0,_,_,q2,x,0,0,R,R,R
24,5,13,10,8,q2,:,_,_,q5,:,_,:,S,L,S
25,10,13,9,8,q5,:,0,:,q5,:,_,:,S,L,S
26,10,13,8,8,q5,:,0,:,q5,:,_,:,S,L,S
27,10,13,7,8,q5,:,0,:,q5,:,_,:,S,L,S
28,10,13,6,8,q5,:,0,:,q5,:,_,:,S,L,S
29,11,14,7,9,q5,:,:,:,q4,:,:,:,R,R,R
30,8,15,8,10,q4,0,_,_,q1,x,0,0,R,R,R
31,2,16,9,11,q1,0,_,_,q2,x,0,0,R,R,R
32,4,17,10,12,q2,0,_,_,q1,x,0,0,R,R,R
33,2,18,11,13,q1,0,_,_,q2,x,0,0,R,R,R
34,4,19,12,14,q2,0,_,_,q1,x,0,0,R,R,R
35,2,20,13,15,q1,0,_,_,q2,x,0,0,R,R,R
36,4,21,14,16,q2,0,_,_,q1,x,0,0,R,R,R
37,2,22,15,17,q1,0,_,_,q2,x,0,0,R,R,R
38,4,23,16,18,q2,0,_,_,q1,x,0,0,R,R,R
39,2,24,17,19,q1,0,_,_,q2,x,0,0,R,R,R
40,5,24,16,19,q2,:,_,_,q5,:,_,:,S,L,S
41,10,24,15,19,q5,:,0,:,q5,:,_,:,S,L,S
42,10,24,14,19,q5,:,0,:,q5,:,_,:,S,L,S
43,10,24,13,19,q5,:,0,:,q5,:,_,:,S,L,S
44,10,24,12,19,q5,:,0,:,q5,:,_,:,S,L,S
45,10,24,11,19,q5,:,0,:,q5,:,_,:,S,L,S
46,10,24,10,19,q5,:,0,:,q5,:,_,:,S,L,S
47,10,24,9,19,q5,:,0,:,q5,:,_,:,S,L,S
48,10,24,8,19,q5,:,0,:,q5,:,_,:,S,L,S
49,10,24,7,19,q5,:,0,:,q5,:,_,:,S,L,S
50,10,24,6,19,q5,:,0,:,q5,:,_,:,S,L,S
51,11,25,7,20,q5,:,:,:,q4,:,:,:,R,R,R
52,8,26,8,21,q4,0,_,_,q1,x,0,0,R,R,R
53,2,27,9,22,q1,0,_,_,q2,x,0,0,R,R,R
54,4,28,10,23,q2,0,_,_,q1,x,0,0,R,R,R
55,2,29,11,24,q1,0,_,_,q2,x,0,0,R,R,R
56,4,30,12,25,q2,0,_,_,q1,x,0,0,R,R,R
57,2,31,13,26,q1,0,_,_,q2,x,0,0,R,R,R
58,4,32,14,27,q2,0,_,_,q1,x,0,0,R,R,R
59,2,33,15,28,q1,0,_,_,q2,x,0,0,R,R,R
60,4,34,16,29,q2,0,_,_,q1,x,0,0,R,R,R
61,2,35,17,30,q1,0,_,_,q2,x,0,0,R,R,R
62,4,36,18,31,q2,0,_,_,q1,x,0,0,R,R,R
63,2,37,19,32,q1,0,_,_,q2,x,0,0,R,R,R
64,4,38,20,33,q2,0,_,_,q1,x,0,0,R,R,R
65,3,38,20,32,q1,:,_,_,q3,:,:,_,S,S,L
66,6,38,20,31,q3,:,:,0,q3,:,:,_,S,S,L
67,6,38,20,30,q3,:,:,0,q3,:,:,_,S,S,L
68,6,38,20,29,q3,:,:,0,q3,:,:,_,S,S,L
69,6,38,20,28,q3,:,:,0,q3,:,:,_,S,S,L
70,6,38,20,27,q3,:,:,0,q3,:,:,_,S,S,L
71,6,38,20,26,q3,:,:,0,q3,:,:,_,S,S,L
72,6,38,20,25,q3,:,:,0,q3,:,:,_,S,S,L
73,6,38,20,24,q3,:,:,0,q3,:,:,_,S,S,L
74,6,38,20,23,q3,:,:,0,q3,:,:,_,S,S,L
75,6,38,20,22,q3,:,:,0,q3,:,:,_,S,S,L
76,6,38,20,21,q3,:,:,0,q3,:,:,_,S,S,L
77,6,38,20,20,q3,:,:,0,q3,:,:,_,S,S,L
78,6,38,20,19,q3,:,:,0,q3,:,:,_,S,S,L
79,7,39,21,20,q3,:,:,:,q4,:,:,:,R,R,R
80,9,40,22,21,q4,_,_,_,q6,_,_,_,R,R,R
Accepted
Tape 0: x:xx:xxx:xxxx:xxxxxxxxxx:xxxxxxxxxxxxx:_
Tape 1: :0:000:0000000000000:_
Tape 2: :00:0000:0000000000:______________
Tape 0: 0:00:000:0000:0000000000:_
Tape 1: :_
Tape 2: :_
1,1,0,1,1,q0,0,:,:,q2,0,:,:,S,R,R
2,4,1,2,2,q2,0,_,_,q1,x,0,0,R,R,R
3,3,1,2,1,q1,:,_,_,q3,:,:,_,S,S,L
4,6,1,2,0,q3,:,:,0,q3,:,:,_,S,S,L
5,7,2,3,1,q3,:,:,:,q4,:,:,:,R,R,R
6,8,3,4,2,q4,0,_,_,q1,x,0,0,R,R,R
7,2,4,5,3,q1,0,_,_,q2,x,0,0,R,R,R
8,5,4,4,3,q2,:,_,_,q5,:,_,:,S,L,S
9,10,4,3,3,q5,:,0,:,q5,:,_,:,S,L,S
10,10,4,2,3,q5,:,0,:,q5,:,_,:,S,L,S
11,11,5,3,4,q5,:,:,:,q4,:,:,:,R,R,R
12,8,6,4,5,q4,0,_,_,q1,x,0,0,R,R,R
13,2,7,5,6,q1,0,_,_,q2,x,0,0,R,R,R
14,4,8,6,7,q2,0,_,_,q1,x,0,0,R,R,R
15,3,8,6,6,q1,:,_,_,q3,:,:,_,S,S,L
16,6,8,6,5,q3,:,:,0,q3,:,:,_,S,S,L
17,6,8,6,4,q3,:,:,0,q3,:,:,_,S,S,L
18,6,8,6,3,q3,:,:,0,q3,:,:,_,S,S,L
19,7,9,7,4,q3,:,:,:,q4,:,:,:,R,R,R
20,8,10,8,5,q4,0,_,_,q1,x,0,0,R,R,R
21,2,11,9,6,q1,0,_,_,q2,x,0,0,R,R,R
22,4,12,10,7,q2,0,_,_,q1,x,0,0,R,R,R
23,2,13,11,8,q1,0,_,_,q2,x,0,0,R,R,R
24,5,13,10,8,q2,:,_,_,q5,:,_,:,S,L,S
25,10,13,9,8,q5,:,0,:,q5,:,_,:,S,L,S
26,10,13,8,8,q5,:,0,:,q5,:,_,:,S,L,S
27,10,13,7,8,q5,:,0,:,q5,:,_,:,S,L,S
28,10,13,6,8,q5,:,0,:,q5,:,_,:,S,L,S
29,11,14,7,9,q5,:,:,:,q4,:,:,:,R,R,R
30,8,15,8,10,q4,0,_,_,q1,x,0,0,R,R,R
31,2,16,9,11,q1,0,_,_,q2,x,0,0,R,R,R
32,4,17,10,12,q2,0,_,_,q1,x,0,0,R,R,R
33,2,18,11,13,q1,0,_,_,q2,x,0,0,R,R,R
34,4,19,12,14,q2,0,_,_,q1,x,0,0,R,R,R
35,2,20,13,15,q1,0,_,_,q2,x,0,0,R,R,R
36,4,21,14,16,q2,0,_,_,q1,x,0,0,R,R,R
37,2,22,15,17,q1,0,_,_,q2,x,0,0,R,R,R
38,4,23,16,18,q2,0,_,_,q1,x,0,0,R,R,R
39,2,24,17,19,q1,0,_,_,q2,x,0,0,R,R,R
40,5,24,16,19,q2,:,_,_,q5,:,_,:,S,L,S
41,10,24,15,19,q5,:,0,:,q5,:,_,:,S,L,S
42,10,24,14,19,q5,:,0,:,q5,:,_,:,S,L,S
43,10,24,13,19,q5,:,0,:,q5,:,_,:,S,L,S
44,10,24,12,19,q5,:,0,:,q5,:,_,:,S,L,S
45,10,24,11,19,q5,:,0,:,q5,:,_,:,S,L,S
46,10,24,10,19,q5,:,0,:,q5,:,_,:,S,L,S
47,10,24,9,19,q5,:,0,:,q5,:,_,:,S,L,S
48,10,24,8,19,q5,:,0,:,q5,:,_,:,S,L,S
49,10,24,7,19,q5,:,0,:,q5,:,_,:,S,L,S
50,10,24,6,19,q5,:,0,:,q5,:,_,:,S,L,S
51,11,25,7,20,q5,:,:,:,q4,:,:,:,R,R,R
52,9,26,8,21,q4,_,_,_,q6,_,_,_,R,R,R
Accepted
Tape 0: x:xx:xxx:xxxx:xxxxxxxxxx:_
Tape 1: :0:000:___________
Tape 2: :00:0000:0000000000:_
Tape 0: 0:_
Tape 1: :_
Tape 2: :_
1,1,0,1,1,q0,0,:,:,q2,0,:,:,S,R,R
2,4,1,2,2,q2,0,_,_,q1,x,0,0,R,R,R
3,3,1,2,1,q1,:,_,_,q3,:,:,_,S,S,L
4,6,1,2,0,q3,:,:,0,q3,:,:,_,S,S,L
5,7,2,3,1,q3,:,:,:,q4,:,:,:,R,R,R
6,9,3,4,2,q4,_,_,_,q6,_,_,_,R,R,R
Accepted
Tape 0: x:_
Tape 1: :0:_
Tape 2: :__
Tape 0: 0:0:00:00:00:00:00:0:0:0:0:0:00:_
Tape 1: :_
Tape 2: :_
1,1,0,1,1,q0,0,:,:,q2,0,:,:,S,R,R
2,4,1,2,2,q2,0,_,_,q1,x,0,0,R,R,R
3,3,1,2,1,q1,:,_,_,q3,:,:,_,S,S,L
4,6,1,2,0,q3,:,:,0,q3,:,:,_,S,S,L
5,7,2,3,1,q3,:,:,:,q4,:,:,:,R,R,R
6,8,3,4,2,q4,0,_,_,q1,x,0,0,R,R,R
7,3,3,4,1,q1,:,_,_,q3,:,:,_,S,S,L
8,6,3,4,0,q3,:,:,0,q3,:,:,_,S,S,L
9,7,4,5,1,q3,:,:,:,q4,:,:,:,R,R,R
10,8,5,6,2,q4,0,_,_,q1,x,0,0,R,R,R
11,2,6,7,3,q1,0,_,_,q2,x,0,0,R,R,R
12,5,6,6,3,q2,:,_,_,q5,:,_,:,S,L,S
13,10,6,5,3,q5,:,0,:,q5,:,_,:,S,L,S
14,10,6,4,3,q5,:,0,:,q5,:,_,:,S,L,S
15,11,7,5,4,q5,:,:,:,q4,:,:,:,R,R,R
16,8,8,6,5,q4,0,_,_,q1,x,0,0,R,R,R
17,2,9,7,6,q1,0,_,_,q2,x,0,0,R,R,R
18,5,9,6,6,q2,:,_,_,q5,:,_,:,S,L,S
19,10,9,5,6,q5,:,0,:,q5,:,_,:,S,L,S
20,10,9,4,6,q5,:,0,:,q5,:,_,:,S,L,S
21,11,10,5,7,q5,:,:,:,q4,:,:,:,R,R,R
22,8,11,6,8,q4,0,_,_,q1,x,0,0,R,R,R
23,2,12,7,9,q1,0,_,_,q2,x,0,0,R,R,R
24,5,12,6,9,q2,:,_,_,q5,:,_,:,S,L,S
25,10,12,5,9,q5,:,0,:,q5,:,_,:,S,L,S
26,10,12,4,9,q5,:,0,:,q5,:,_,:,S,L,S
27,11,13,5,10,q5,:,:,:,q4,:,:,:,R,R,R
28,8,14,6,11,q4,0,_,_,q1,x,0,0,R,R,R
29,2,15,7,12,q1,0,_,_,q2,x,0,0,R,R,R
30,5,15,6,12,q2,:,_,_,q5,:,_,:,S,L,S
31,10,15,5,12,q5,:,0,:,q5,:,_,:,S,L,S
32,10,15,4,12,q5,:,0,:,q5,:,_,:,S,L,S
33,11,16,5,13,q5,:,:,:,q4,:,:,:,R,R,R
34,8,17,6,14,q4,0,_,_,q1,x,0,0,R,R,R
35,2,18,7,15,q1,0,_,_,q2,x,0,0,R,R,R
36,5,18,6,15,q2,:,_,_,q5,:,_,:,S,L,S
37,10,18,5,15,q5,:,0,:,q5,:,_,:,S,L,S
38,10,18,4,15,q5,:,0,:,q5,:,_,:,S,L,S
39,11,19,5,16,q5,:,:,:,q4,:,:,:,R,R,R
40,8,20,6,17,q4,0,_,_,q1,x,0,0,R,R,R
41,3,20,6,16,q1,:,_,_,q3,:,:,_,S,S,L
42,6,20,6,15,q3,:,:,0,q3,:,:,_,S,S,L
43,7,21,7,16,q3,:,:,:,q4,:,:,:,R,R,R
44,8,22,8,17,q4,0,_,_,q1,x,0,0,R,R,R
45,3,22,8,16,q1,:,_,_,q3,:,:,_,S,S,L
46,6,22,8,15,q3,:,:,0,q3,:,:,_,S,S,L
47,7,23,9,16,q3,:,:,:,q4,:,:,:,R,R,R
48,8,24,10,17,q4,0,_,_,q1,x,0,0,R,R,R
49,3,24,10,16,q1,:,_,_,q3,:,:,_,S,S,L
50,6,24,10,15,q3,:,:,0,q3,:,:,_,S,S,L
51,7,25,11,16,q3,:,:,:,q4,:,:,:,R,R,R
52,8,26,12,17,q4,0,_,_,q1,x,0,0,R,R,R
53,3,26,12,16,q1,:,_,_,q3,:,:,_,S,S,L
54,6,26,12,15,q3,:,:,0,q3,:,:,_,S,S,L
55,7,27,13,16,q3,:,:,:,q4,:,:,:,R,R,R
56,8,28,14,17,q4,0,_,_,q1,x,0,0,R,R,R
57,3,28,14,16,q1,:,_,_,q3,:,:,_,S,S,L
58,6,28,14,15,q3,:,:,0,q3,:,:,_,S,S,L
59,7,29,15,16,q3,:,:,:,q4,:,:,:,R,R,R
60,8,30,16,17,q4,0,_,_,q1,x,0,0,R,R,R
61,2,31,17,18,q1,0,_,_,q2,x,0,0,R,R,R
62,5,31,16,18,q2,:,_,_,q5,:,_,:,S,L,S
63,10,31,15,18,q5,:,0,:,q5,:,_,:,S,L,S
64,10,31,14,18,q5,:,0,:,q5,:,_,:,S,L,S
65,11,32,15,19,q5,:,:,:,q4,:,:,:,R,R,R
66,9,33,16,20,q4,_,_,_,q6,_,_,_,R,R,R
Accepted
Tape 0: x:x:xx:xx:xx:xx:xx:x:x:x:x:x:xx:_
Tape 1: :0:0:0:0:0:0:0:___
Tape 2: :00:00:00:00:00:00:_
